Node,Utilised Bandwith Rate,Packet Drop Rate,Full_Bandwidth,Average_Delay_Time_Per_Sec,Percentage_Of_Lost_Pcaket_Rate,Percentage_Of_Lost_Byte_Rate,Packet Received  Rate,of Used_Bandwidth,Lost_Bandwidth,Packet Size_Byte,Packet_Transmitted,Packet_Received,Packet_lost,Transmitted_Byte,Received_Byte,10-Run-AVG-Drop-Rate,10-Run-AVG-Bandwith-Use,10-Run-Delay,Node Status,Flood Status,Class
3.0,0.822038,0.190381,1000.0,0.004815,19.031487,19.038129,0.809619,822.0375,177.9625,1440.0,90324.0,73128.0,17196.0,130066560.0,105304320.0,0.146594,0.780936,0.001838,B,0.023455,NB-No Block
9.0,0.275513,0.729111,100.0,0.004815,72.889036,72.911141,0.270889,27.55125,72.44875,1440.0,9048.0,2451.0,6598.0,13029120.0,3529440.0,0.517669,0.242451,0.002236,NB,0.460725,Block
3.0,0.923707,0.090383,900.0,0.000633,9.035834,9.038339,0.909617,831.336,68.664,1440.0,81276.0,73930.0,7346.0,117037440.0,106459200.0,0.058749,0.886758,0.001751,B,0.0,No Block
9.0,0.368775,0.63771,100.0,0.000552,63.737843,63.770999,0.36229,36.8775,63.1225,1440.0,9048.0,3278.0,5770.0,13029120.0,4720320.0,0.522922,0.324522,0.001776,NB,0.439255,Block
3.0,0.905217,0.10867,800.0,0.000497,10.864208,10.866977,0.89133,724.17375,75.82625,1440.0,72228.0,64379.0,7849.0,104008320.0,92705760.0,0.076069,0.869009,0.001767,B,0.0,No Block
9.0,0.514687,0.494142,100.0,0.003098,49.392131,49.414235,0.505858,51.46875,48.53125,1440.0,9048.0,4577.0,4471.0,13029120.0,6590880.0,0.405197,0.442631,0.00225,NB,0.291742,NB-No Block
3.0,0.912327,0.102633,700.0,0.000423,10.252196,10.263258,0.897367,638.628775,61.371225,1440.0,63284.0,56789.0,6495.0,91128960.0,81776160.0,0.08108,0.86671,0.001959,B,0.0,No Block
9.0,0.565425,0.444076,100.0,0.004677,44.3855,44.407604,0.555924,56.5425,43.4575,1440.0,9048.0,5030.0,4018.0,13029120.0,7243200.0,0.359702,0.508883,0.002365,P NB,0.122299,NB-No Block
9.0,0.928,0.086126,900.0,0.000623,8.610168,8.612629,0.913874,835.2,64.8,1440.0,81276.0,74276.0,7000.0,117037440.0,106957440.0,0.06804,0.89088,0.000583,B,0.0,No Block
9.0,0.55125,0.458002,100.0,0.005004,45.778073,45.800177,0.541998,55.125,44.875,1440.0,9048.0,4904.0,4144.0,13029120.0,7061760.0,0.325181,0.4851,0.002435,P NB,0.120317,NB-No Block
